SampleID,d13C,d15N
Z-1175,-37.89,4.66
Z-1176,-38.04,5.23
Z-1200,-35.48,3.68
Z-1198,-34.65,5.89
Z-1169,-34.80,6.42
Z-1192,-35.84,7.02
B-0877,-28.68,0.96
B-0874,-28.67,-0.23
B-0870,-28.49,1.14
B-0876,-28.31,0.93
B-0873,-27.99,0.23
F-1173,-34.03,6.20
F-1290,-32.19,4.38
F-1177,-31.83,5.34
F-1316,-32.01,4.65
F-1272,-35.16,3.87
F-1384,-32.08,2.53
F-1360,-30.47,4.84
F-1143,-31.16,5.57
F-1288,-31.72,4.69
F-1416,-31.69,4.90
F-1329,-35.85,-0.36
F-1381,-25.13,4.17
F-1124,-36.71,2.20
F-1354,-30.07,5.92
F-1273,-38.19,3.21
F-1394,-34.07,2.47
F-1268,-35.34,3.83
F-1393,-37.35,-1.95
F-1246,-31.85,5.62
F-1312,-33.44,2.91
F-1161,-34.04,5.37
F-1095,-29.03,5.77
F-1244,-30.39,6.21
F-1163,-30.44,6.13
F-1260,-30.48,6.20
F-1386,-34.50,0.62
F-1233,-33.65,4.92
F-1185,-32.66,4.96
F-1366,-31.19,5.41
F-1358,-32.28,1.57
F-1189,-30.24,5.06
F-1356,-30.34,5.73
F-1280,-33.04,3.39
F-1338,-31.88,6.74
F-1406,-29.29,3.73
F-1123,-33.61,2.75
F-1402,-31.63,5.35
F-1133,-32.21,4.70
F-1242,-26.12,5.33
F-1320,-34.86,3.93
F-1376,-30.70,5.35
F-1302,-23.98,3.64
F-1274,-33.68,3.31
F-1270,-33.49,3.32
F-1206,-32.83,5.10
F-1374,-31.56,5.37
F-1364,-30.57,4.98
F-1395,-36.05,0.81
F-1372,-27.43,2.80
F-1422,-31.61,4.57
F-1131,-33.51,5.28
F-1388,-31.91,4.45
F-1390,-31.81,6.01
F-1322,-30.69,5.73
F-1328,-32.09,2.78
F-1240,-24.56,5.21
F-1392,-34.94,2.19
F-1300,-32.77,5.33
F-1292,-33.35,3.91
F-1205,-32.19,4.88
F-1209,-29.47,4.97
F-1400,-30.12,6.00
F-1229,-32.24,5.63
Z-1194,-32.95,6.22
Z-1196,-35.05,4.18
Z-1181,-33.45,6.93
Z-1174,-36.57,6.14
Z-1204,-33.67,6.77
Z-1172,-35.50,4.75
Z-1171,-33.81,6.19
Z-1177,-36.66,5.74
Z-1173,-38.81,4.02
Z-1202,-32.77,7.53
Z-1191,-34.32,8.24
Z-1179,-35.82,4.54
Z-1170,-29.87,18.41
Z-1178,-34.26,7.71
Z-1186,-37.39,6.74
Z-1187,-35.50,5.17
Z-1197,-35.07,3.37
Z-1190,-33.99,7.98
Z-1183,-33.78,6.27
Z-1203,-32.40,6.95
Z-1189,-34.76,6.12
Z-1195,-29.65,21.92
Z-1188,-36.73,6.66
Z-1182,-32.31,7.89
Z-1185,-36.03,5.68
Z-1180,-35.45,5.99
Z-1193,-32.75,5.61
Z-1184,-36.39,10.87
A-0316,-26.95,2.76
A-0319,-25.10,0.94
A-0318,-25.88,1.98
A-0317,-26.86,1.79
A-0320,-25.40,0.96
A-0315,-27.85,1.42
V-0420,-24.01,-1.43
V-0472,-19.74,-6.25
V-0462,-25.14,-3.46
V-0423,-23.46,-1.13
V-0470,-19.02,-6.86
V-0445,-25.24,-6.10
V-0468,-28.95,-4.29
V-0484,-19.79,-4.76
V-0455,-19.90,-0.43
V-0434,-28.94,-6.24
V-0473,-29.07,1.15
V-0449,-25.15,-4.84
V-0454,-24.94,-3.79
V-0476,-27.99,-0.74
V-0417,-23.54,-2.50
V-0442,-21.36,-6.55
V-0426,-23.81,-5.65
V-0414,-23.55,-6.55
V-0436,-20.83,-1.32
V-0457,-24.78,-6.66
V-0439,-28.00,-1.67
V-0466,-28.91,-1.01
O-0395,-22.40,-0.08
O-0396,-23.90,-0.08
O-0390,-17.53,0.30
O-0402,-19.62,-0.01
O-0401,-19.73,-0.08
O-0389,-13.59,0.59
P-1240,-32.65,-0.15
P-1241,-32.11,0.72
P-1242,-33.41,0.08
B-0871,-27.59,0.77
F-1262,-29.62,5.75
F-1382,-29.63,2.77
P-1244,-23.87,2.64
P-1245,-33.17,2.06
P-1246,-32.33,2.03
P-1247,-33.79,2.08
P-1248,-33.37,1.42
P-1249,-35.41,1.64
P-1256,-31.23,1.05
P-1257,-27.81,0.33
P-1258,-32.70,0.16
P-1259,-33.44,0.56
P-1260,-32.10,0.33
P-1261,-32.10,1.72
