Taxon,Year,d13C,d15N,dD,Trophic,ID
Alder,2010,-27.98166667,-1.635,-152.85,0,1
BHD,2010,-28.31875,4.3525,-165.9125,2.125,2
BHD,2012,-30.65333333,5.201333333,-156.8933333,2.666666667,2
Brasenia schreberi,2010,-23.85666667,-5.538333333,-146.8166667,0,3
Calanoid,2010,-33.64382353,3.787941176,-192.5764706,1,4
Calanoid,2012,-35.675,6.280555556,-196.1611111,1,4
Chaoborus,2010,-32.9605,4.828,-181.265,2,5
Chaoborus,2012,-33.40714286,6.504285714,-174.0571429,2,5
Chara,2010,-17.19666667,-4.653333333,-119.0166667,0,6
CMM,2010,-30.71777778,6.087777778,-151.1888889,2.111111111,7
CMM,2012,-31.725,4.775833333,-154.5,2.25,7
DAC,2010,-28.54,4.325,-181.6666667,2,8
DAC,2012,-30.29833333,4.873333333,-169.925,2,8
DOM,2010,-28.192,-3.744,-116.08,0,10
DOM,2012,-19.46166667,0.106666667,-156.85,0,10
FHM,2010,-31.63916667,4.208333333,-188.8416667,2,11
FHM,2012,-33.58875,3.26125,-181.03125,2,11
Helisoma trivolvis,2010,-25.31,0.17,-150.5666667,1,12
Helisoma trivolvis,2012,-28.28833333,0.633333333,-159.05,1,12
Mesocyclops,2010,-36.145,5.0825,-176.85,1,13
Mesocyclops,2012,-35.27,5.511428571,-176.9285714,1,13
Najas flexilis,2010,-20.2975,-7.325,-133.225,0,14
Nuphar variegata,2010,-24.47571429,-1.868571429,-150.5,0,15
Nymphaea odorata,2010,-24.29428571,-3.047142857,-142.9714286,0,16
Periphyton,2010,-21.96666667,-0.04,-196.3833333,0,17
Periphyton,2012,-26.34,1.641666667,-206.8,0,17
Pickerell Weed,2010,-28.455,-1.34,-133.1,0,18
PKS,2010,-30.00666667,5.623333333,-160.7166667,2,19
PKS,2012,-31.7675,5.0975,-177.5,2,19
Potamogeton amplifolius,2010,-20.365,-0.875,-132,0,21
Potamogeton nodosus,2010,-25.195,-5.47,-175.4,0,22
Potamogeton pusillus,2010,-16.26857143,-6.888571429,-137.3142857,0,23
Sedge,2010,-29.33333333,-0.805,-142.6333333,0,24
Tamarack,2010,-28.945,-5.265,-171.35,0,25
Tree,2001,-29.16666667,-4.801666667,-126.7866667,0,26
YWP,2010,-29.10333333,5.601666667,-162.85,3,28
YWP,2012,-31.88,6.74,-156.2,2,28
MetaPhyto,2010,-36.5371,0.34559731,-230.7775,0,29
MetaPhyto,2012,-40.837807,3.34746164,-222.7315,0,29
EpiPhyto,2010,-32.21458,0.042032131,-217.6164,0,30
EpiPhyto,2012,-35.443022,3.56228521,-220.4156,0,30
